Ýl Adý;Coðrafi Özellikler;Tarih ve Kültür;Doðal Güzellikler;Turistik Noktalar;Gastronomi;Alýþveriþ;Etkinlikler ve Festivaller
Bilecik;Konumu: Marmara Bölgesi'nin güneydoðusunda yer alýr. | Coðrafi Yapýlarý: Sakarya Nehri, Gölpazarý Gölü, Söðüt Yaylasý. | Ýklimi: Karasal iklim etkileri görülür, kýþlarý soðuk ve yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Bilecik Kalesi, Söðüt Orhan Gazi Türbesi, Gölpazarý Saat Kulesi, Ýnhisar Kervansarayý. | Müzeler: Bilecik Müzesi. | Kültürel Miraslar: Söðüt Köyü, Bilecik Ertuðrul Gazi Türbesi.;Milli Parklar: Küçükelmalý Tabiat Parký, Harmankaya Kanyonu Tabiat Parký. | Göller: Pelitözü Göleti, Günyurdu Göleti. | Kanyonlar ve Þelaleler: Harmankaya Kanyonu, Kýnýk Þelalesi | Maðaralar: Ýnhisar Maðarasý;Bilecik Kalesi: Þehrin simgesi olan tarihi kale. | Söðüt Orhan Gazi Türbesi: Osmanlý Devleti'nin kurucusu Osman Gazi'nin babasý Orhan Gazi'nin türbesi. | Gölpazarý Saat Kulesi: Gölpazarý ilçesinin sembol yapýlarýndan biri.;Keklik Kebabý, Piruhi, Samsý;Alýþveriþ Merkezleri: Bozüyük Sarar AVM;Bilecik Ertuðrul Gazi Kültür ve Sanat Festivali: Her yýl düzenlenen kültürel etkinlik. | Söðüt Yayla Þenlikleri: Yayla yaþantýsýný tanýtmak amacýyla gerçekleþtirilen geleneksel þenlik.
Bingöl;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Murat Nehri, Bingöl Gölü, Munzur Daðlarý. | Ýklimi: Ýç Anadolu iklimine benzer, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Bingöl Kalesi, Yedi Kümbetler Mezarlýðý, Çubukçu Camii. | Kültürel Miraslar: Kiðý Kalesi, Eski Bayazýt Köprüsü, Kral Kýzý Kalesi.;Milli Parklar: Munzur Vadisi Milli Parký. | Göller: Gerendal Gölü. | Adalar: Yüzen Ada | Maðaralar: Zað Maðaralarý, Buban Bacalarý, Kalkanlý Maðaralarý, Çiçektepe Köyü Maðaralarý | Þelaleler: Çýr Þelalesi;Bingöl Kalesi: Þehrin tarihi sembollerinden biri olan kale. | Munzur Vadisi Milli Parký: Doðal güzellikleri ve zengin bitki örtüsüyle ünlü milli park. | Yüzen Ada: Bingöl Gölü'nde bulunan ve doðal güzellikleriyle ziyaretçileri cezbeden yüzen ada. | Munzur Suyu ve Þelaleleri: Munzur Daðlarý'ndan gelen sularýn oluþturduðu þelaleler ve doðal su kaynaklarý.;Dut pekmezi, Löl, Mastuva, Sorina Pel, Tutmaç Çorbasý ;Alýþveriþ Merkezleri: Kalium AVM, Miliamall AVM;Hesarek Festivali: Festival, bölgenin kültürel zenginliðini ve yöresel özelliklerini sergilemek amacýyla düzenlenir. 
Bitlis;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Bitlis Gölleri, Nemrut Daðý, Bitlis Kalesi. | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý soðuk ve karlý, yazlarý ise sýcak ve kurak bir iklim hakimdir.;Önemli Tarihi Yapýlar: Bitlis Kalesi, Bitlis Ulu Cami, Süleyman Han Camii. | Müzeler: Ahlat Müzesi, Bitlis Etnografya Müzesi. | Kültürel Miraslar: Ahlat Selçuklu Mezarlýðý, Tatvan Kalesi.;Milli Parklar: Nemrut Daðý Milli Parký. | Göller: Cil Gölü, Nemrut Krater Gölü, Ilý Göl. | Daðlar: Nemrut Daðý. | Yaylalar: Sütey Yayalasý;Bitlis Kalesi: Þehrin sembolü olan tarihi kale. | Ahlat Selçuklu Mezarlýðý: UNESCO Dünya Mirasý Listesi'nde yer alan tarihi mezarlýk. | Nemrut Krater Gölü: Doðal güzelliðiyle ünlü krater gölü.;Büryan Kebabý, Katýklý Dolma, Þekalok, Gýlorik, Miþevþi, Turþu Aþý, Gari Aþý;Çarþýlar: Bitlis Kapalý Çarþý | Alýþveriþ Merkezleri: Tatvan Yaþam AVM;Hýdýrellez : Her yýlýn 6 Mayýs günü, baharýn baþlangýcý olarak, kabul edilerek kutlanýlan þenlikler yapýlan bir gündür. | 8 Aðustos Bitlis’in Kurtuluþu : 8 Aðustos 1916 tarihinde ilimizin düþman iþgalinden kurtuluþunun yýl dönümü, her yýl büyük bir coþku ile kutlanýr.
Bolu;Konumu: Karadeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Abant Gölü, Yedigöller Milli Parký, Abant Daðlarý. | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý ýlýman ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Bolu Kalesi, Göynük Saat Kulesi, Yýldýrým Bayezid Camii, Akþemseddin Türbesi, Seben Kaya Evleri, Yukarý Taþhan. | Müzeler: Bolu Müzesi. | Kültürel Miraslar: Göynük Evleri, Mudurnu Evleri, Yedigöller Bölgesi.;Milli Parklar: Yedigöller Milli Parký, Abant Tabiat Parký, Gölcük Tabiat Parký. | Gölleri: Abant Gölü, Gölcük Gölü, Sülüklü Göl, Çubuk Gölü. | Daðlar: Bolu Daðlarý.;Bolu Kalesi: Þehrin tarihi sembolü olan kale. | Abant Gölü: Muhteþem doðal güzelliði ile ünlü bir göl. | Göynük Kasabasý: Osmanlý döneminden kalma tarihi evleri ve sokaklarýyla ünlü bir kasaba. | Yedigöller Milli Parký: Bolu'nun doðal güzelliklerinden biri olan Yedigöller, yürüyüþ parkurlarý, göletler ve çam ormanlarýyla ziyaretçileri cezbeder. | Kartalkaya Kayak Merkezi: Kýþ aylarýnda kayak ve snowboard yapmak için ideal bir noktadýr. Bolu'nun Karadeniz'e yakýn konumu sayesinde kolayca ulaþýlabilir bir kayak merkezidir.;Kedi Batmaz, Kaldýrýk Dolmasý, Kaþýk Sapý, Abant kebabý, Mengen Pilavý, Bolu Beyi Tatlýsý;Çarþýlar: Göynük Çarþýsý, Mudurnu Çarþýsý. | Alýþveriþ Merkezleri: 14 Burda AVM,  Highway Outlet Avm.;Bolu Uluslararasý Kar Festivali: Kýþ sporlarýný ve kar festivalini kutlayan uluslararasý bir etkinlik. | Mengen Uluslararasý Aþçýlýk Festivali: Festival bütün aþçýlarý bir araya getirerek mutfak becerilerinin sergilenmesini ve tanýtýlmasýný saðlamaktýr.
Burdur;Konumu: Ege Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Burdur Gölü, Salda Gölü. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Sagalassos Antik Kenti, Kibyra Antik Kenti, Kremna Antik Kenti, Ýncir Han, Bakibey Konaðý. | Müzeler: Burdur Müzesi, Doða Tarihi Müzesi. | Kültürel Miraslar: Ýnsuyu Maðarasý.;Milli Parklar: Salda Gölü Tabiat Parký.| Göller: Burdur Gölü, Salda Gölü, Karataþ Gölü, Yarýþlý Gölü, Gölhisar Gölü, Karacaören Baraj Gölü. | Maðaralar: Ýnsuyu Maðarasý | Kanyonlar: Aðlasun Kanyonu;Sagalassos Antik Kenti: Antik döneme ait kalýntýlarý ve tarihi yapýlarýyla ünlü bir antik kent. | Salda Gölü: Maldivler'e benzeyen berrak turkuaz suyuyla ünlü bir doðal güzellik. | Ýnsuyu Maðarasý: Doðal güzelliði ve maðara içinde yer alan göletiyle ziyaretçileri cezbeden bir maðara. | Aðlasun Kanyonu: Doðal güzellikleri ve trekking rotalarýyla bilinen Aðlasun Kanyonu, macera arayanlar için ideal bir yerdir.| Kibyra Antik Kenti: Antik dönemden kalan kalýntýlarý ve tarihi yapýlarýyla ziyaretçileri geçmiþe doðru bir yolculuða çýkaran Kibyra Antik Kenti, Burdur'un tarihî zenginliklerinden biridir.;Kabak Helvasý, Burdur Muhallebisi, Ceviz Ezmesi, Gazel (Kazel) Böreði. Burdur Þiþ, Çekme;Alýþveriþe uygun çarþý ya da AVM bulunmamaktadýr;Burdur Gölü Kültür ve Sanat Festivali: Her yýl düzenlenen kültürel etkinlik. | Yeþilova Yörük Þenlikleri: Yörük kültürünü kutlayan geleneksel bir festival.
Bursa;Konumu: Marmara Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Uludað Daðlarý, Irgandý Köprüsü, Bursa Ovasý. | Ýklimi: Marmara iklimi özellikleri gösterir, kýþlarý soðuk ve yaðýþlý, yazlarý sýcak ve nemlidir.;Önemli Tarihi Yapýlar: Yeþil Türbe, Koza Han, Osmanlý Çarþýsý, Ulu Camii, Saltanat Kapýsý (Bursa Kalesi). | Müzeler: Bursa Þehir Müzesi, Tofaþ Bursa Anadolu Arabalarý Müzesi, Atatürk Müzesi, Merinos Tekstil Sanayi Müzesi. | Kültürel Miraslar: Cumalýkýzýk Köyü, Yýldýrým Beyazýt Külliyesi, Gölyazý, Kapalýçarþý.;Milli Parklar: Uludað Milli Parký, Longoz Ormanlarý. | Göller: Uluabat Gölü, Ýznik Gölü, Apolyont Gölü. | Daðlar: Uludað Daðlarý. | Maðaralar: Ayvaini Maðarasý | Þelaleler: Suuçtu Þelalesi;Uludað Kayak Merkezi: Kýþ sporlarý için popüler bir destinasyon. | Ýnkaya Çýnarý: Binlerce yýllýk tarihi ile ünlü, Türkiye'nin en eski çýnarý. | Cumalýkýzýk Köyü: Osmanlý döneminden kalma tarihi köy, geleneksel evleri ve dar sokaklarýyla ünlüdür. UNESCO Dünya Mirasý Listesi'nde yer alýr. | Ulucami (Ulu Camii): Bursa'nýn en eski camisi olan Ulu Camii, Osmanlý mimarisinin önemli bir örneðidir. | Koza Han: Osmanlý döneminden kalma tarihi bir kervansaray olan Koza Han, Bursa'nýn tarihi çarþýlarýnda alýþveriþ yapmak için ideal bir mekandýr.; Ýskender Kebap, Kestane Þekeri, Kemalpaþa Tatlýsý, Ýnegöl Köfte, Muradiye Çorbasý, Cantýk, Süt Helvasý, Etli Kereviz;Çarþýlar: Kapalý Çarþý, Koza Han, Ýpek Han. | Alýþveriþ Merkezleri: Anatolium AVM, ÖzdilekPark Bursa Nilüfer AVM, Sur Yapý Marka AVM, Korupark AVM, Korupark AVM.;Uluslararasý Kozadan Kumaþa Ýpek Festivali: Bursa, tarihi boyunca ipek üretimi ve ticaretiyle ünlü olmuþtur ve bu festival, bu önemli geleneði kutlamak ve yaþatmak amacýyla düzenlenir.| Altýn Karagöz Halk Danslarý Yarýþmasý: Dünyadaki otantik folklorik deðerlerin çaðdaþ formlardaki sahne koþullarýna uygulayan halk danslarý topluluklarýnýn katýlýmýyla gerçekleþen bir etkinliktir.
Çanakkale;"Konumu: Marmara Bölgesi'nde ve Ege Denizi'nin kýyýsýnda yer alýr. | Coðrafi Yapýlarý: Troya Antik Kenti, Gelibolu Yarýmadasý, Kaz Daðlarý. | Ýklimi: Karasal iklim ile Akdeniz ikliminin karýþýmýdýr; yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.";Önemli Tarihi Yapýlar: Çanakkale Þehitleri Anýtý, Kilitbahir Kalesi, Troya Antik Kenti. | Müzeler: Çanakkale Arkeoloji Müzesi, Troya Müzesi, Çanakkale Seramik Müzesi, Çanakkale Deniz Müzesi. | Kültürel Miraslar: Assos Antik Kenti, Truva Antik Kenti, Çanakkale Deniz Müzesi, 57. Alay Þehitliði ve Anýtý.;Milli Parklar: Gökçeada Sualtý Milli Parký, Ayazma Pýnarý Tabiat Parký, Gelibolu Yarýmadasý Tarihi Milli Parký. | Plajlar: Kabatepe Plajý, Ayazma Plajý, Akvaryum Koyu, Eceabat Halk Plajý | Daðlar: Kaz Daðlarý. | Koylar: Anzak Koyu | Göller: Gökçeada Tuz Gölü | Þelaleler: Mýhlý Þelalesi, Marmaros Þelalesi;Troya Antik Kenti: Mitolojideki Truva Savaþý'nýn geçtiði yer olarak bilinen antik kent. | Gelibolu Yarýmadasý: Çanakkale Savaþý'nýn yaþandýðý tarihi mekânlar ve anýtlarla dolu bir bölge. | Assos Antik Kenti: Antik çaðlardan kalma tarihi kalýntýlar ve manzarasýyla ünlü bir yer. | Gökçeada ve Bozcaada: Çanakkale'ye baðlý olan iki büyük adada doðal güzellikler ve tarihi yerler bulunur. | Aynalý Çarþý: 1889 yýlýnda Osmanlý padiþahý  II. Abdülhamit tarafýndan inþa ettirilmiþtir ve günümüzde þehrin önemli simgeleri arasýnda yer almaktadýr.;Tumbi, Ýskorpit Çorbasý, Erik Macunu, Melki Yemeði, Metez, Çýrpma, Börülce Köftesi, Yumurtalý Tiken, Tarhanalý Patlýcan;Çarþýlar: Aynalý Çarþý | Alýþveriþ Merkezleri: 17 Burda AVM, Troypark;Geleneksel Lapseki Kiraz Þenlikleri: kiraz hasadý, sergi ve pazarlar, geleneksel müzik ve dans gösterileri, yarýþmalar, sokak lezzetleri ve çeþitli etkinlikler düzenlenir. | Çanakkale Zaferi ve Þehitleri Anma Etkinlikleri: 18 Mart Çanakkale Zaferi'nin anýlmasý ve þehitlerin anma törenleri. | Gökçeada Film Festivali: Gökçeada'nýn doðal güzellikleri eþliðinde düzenlenen, yerel ve uluslararasý sinema yapýtlarýnýn sergilendiði bir etkinliktir.
Çankýrý;Konumu: Ýç Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Ilgaz Daðlarý, Çankýrý Ovasý. | Ýklimi: Ýç Anadolu iklimi özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kuraktýr.;Önemli Tarihi Yapýlar: Çankýrý Kalesi, Askeraða Konaðý, Karataþ Hamamý. | Müzeler: Çankýrý Müzesi, Masal Müzesi, Ferit Akalýn Radyo Ve Ýletiþim Müzesi, Taþ Mektep Etnografya Müzesi, Tarihi Çamaþýrhane Müzesi. | Kültürel Miraslar: Ilgaz Daðlarý Milli Parký, Hüyük Yeraltý Þehri, Sakaeli Kaya Mezarlarý.;Milli Parklar: Ilgaz Daðlarý Milli Parký, Dokuzkardeþler Tabiat Anýtý, Kadýnçayýrý Tabiat Parký, Hazým Daðlý Tabiat Parký. | Göller: Osman Gölü, Karaören Göleti, Kurþunlu Gölü;Ilgaz Kayak Merkezi: Kýþ sporlarý için popüler bir destinasyon. | Çankýrý Saat Kulesi: Þehrin sembolik yapýlarýndan biri olan tarihi saat kulesi. | Bayramören Yeraltý Þehri: Çankýrý'nýn Bayramören ilçesinde bulunan antik bir yeraltý þehri. Tarihi ve arkeolojik açýdan önemli bir yapýdýr.;Yaren Güveci, Yazma Çöreði, Ýri Hamur, Pýhtý;Alýþveriþ Merkezleri: Yunus AVM;Uluslararasý Çankýrý Tuz Festivali: Tuzda futbol ve voleybol müsabakalarý ile baþlayan Tuz Festivali, yerli ve yabancý ziyaretçilerine üç gün boyunca farklý etkinlikler ve konserler ile keyif dolu günler yaþatýyor.
Çorum;Konumu: Karadeniz Bölgesi'nin iç kesimlerinde yer alýr. | Coðrafi Yapýlarý: Çorum Ovasý. | Ýklimi: Karadeniz iklimi özellikleri gösterir, kýþlarý ýlýman ve yaðýþlý, yazlarý ise serin ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Çorum Kalesi, Kandiber Kalesi, Çorum Ulu Camii, Alacahöyük Höyüðü, Hattuþaþ Antik Kenti.| Müzeler: Çorum Arkeoloji Müzesi, Alacahöyük Müzesi, Boðazköy Müzesi. | Kültürel Miraslar: Veli Paþa Haný,  Osmancýk Konaklarý, Alaca Kaya Mezarlarý.;Milli Parklar: Çatak Tabiat Parký, Bahabey Çamlýðý. | Yaylalar: Abdullah Yaylasý, Bayat Kunduzlu ve Kuþçaçimeni Yaylalarý, Ýskilip Yaylalarý, Kargý Yaylasý (Eðinönü) | Kanyonlar: Ýncesu Kanyonu | Þelaleler: Karayanýk Þelalesi, Kýzýlcaoluk Þelalesi | Daðlar: Kargý Daðlarý.;Alacahöyük Antik Kenti: Hitit dönemine ait arkeolojik kalýntýlarýn bulunduðu önemli bir yer. | Hattuþaþ: UNESCO Dünya Mirasý listesinde bulunan antik Hitit baþkenti, tarihi ve arkeolojik açýdan önemli bir yer.;Leblebi, Çorum Mantýsý, Cýzlak, Ýskilip Dolmasý, Çatal Aþý Çorbasý, Söbelek Dolmasý;Alýþveriþ Merkezleri: AHL Park AVM, Çorum Park AVM;Çorum Leblebi Festivali: Her yýl düzenlenen ve yöresel leblebi ürünlerini tanýtmak için yapýlan bir festival. | Hattuþaþ Festivali: Hattuþaþ Antik Kenti'nde düzenlenen kültürel etkinlikler ve konserlerle renklenen bir festival. | Çorum Hitit Kültürü ve Sanat Festivali: Hitit kültürünü ve sanatýný tanýtmak amacýyla düzenlenen bir etkinlik.
Denizli;Konumu: Ege Bölgesi'nin iç kesimlerinde yer alýr. | Coðrafi Yapýlarý: Babadað, Acýpayam Ovasý, Büyük Menderes Nehri. | Ýklimi: Akdeniz iklimi özellikleri gösterir, genellikle kýþlarý ýlýk ve yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Pamukkale Hierapolis Antik Kenti, Tripolis Antik Kenti, Laodikeia Antik Kenti. | Müzeler: Hierapolis Arkeoloji Müzesi, Denizli Atatürk Evi ve Etnografya Müzesi, . | Kültürel Miraslar: Buldan El Dokuma Halýsý, Kaklýk Maðarasý, Çamlýk Ormaný, Karahayit, Yazýr Camii, Pamukkale Travertenleri.;Milli Parklar: Honaz Daðý Milli Parký, Babadað Tabiat Parký, Güney Ege Kanyonlarý Milli Parký. | Gölleri: Acýgöl, Iþýklý Göl | Daðlar: Babadað, Honaz Daðý. | Travertenler: Pamukkale Travertenleri | Yaylalar: Baðbaþý Yaylasý | Þelaleler: Yeþildere Þelalesi (Aðlayan Kaya Þelalesi), Güney Þelalesi | Maðaralar: Kaklýk Maðarasý;Pamukkale Travertenleri: Dünya Mirasý listesinde bulunan doðal beyaz travertenler. | Hierapolis Antik Kenti: Pamukkale'nin yanýnda yer alan antik kent, Roma ve Bizans dönemlerine ait kalýntýlarýyla ünlüdür. Karahayýt Kaplýcalarý: Yýlýn her mevsiminde ana kaynaðýndan 58 santigrat çýkan Karahayýt'ýn kendine has kýrmýzý renkli þifalý termal suyu ve termal çamuru olan kaplýcalar. | Denizli Teleferik ve Baðbaþý Yaylasý: Þehre yukarýdan bakýþ imkaný sunan teleferik ve yayla turizmi için ideal bir alan.;Çaput Aþý, Alaçora, Buldan Tava, Yen Böreði, Denizli Kebabý, Zeytinyaðlý Patlýcan Gömme, Çið Dolma, Patlýcanlý Kapama, Çaput Aþý, Biber Tatari, Börülce Böreði, Cýzlama, Sucuklu Un Karýþtýrmasý, Cerpleme, Pekmezle Kabak Aþý;Çarþýlar: Kaleiçi Çarþýsý | Alýþveriþ Merkezleri: Teras Park AVM, Forum Çamlýk AVM, ;Geleneksel Sudan Koyun Geçirme Ve Çoban Bayramý: Yaylalardan kýþlýk otlaklara koyun sürülerinin geçirildiði ve çobanlarýn mesleklerine veda ettikleri geleneksel bir kutlamadýr. | Çivril Uluslararasý Elma Tarým Ve Kültür Festivali:  Elma üretiminin önemini vurgulayan, tarým ve kültür etkinliklerini bir araya getiren bir festivaldir.
Diyarbakýr;Konumu: Güneydoðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Dicle Nehri, Dicle Vadisi, Karacadað, Diyarbakýr Ovasý. | Ýklimi: Ýç Anadolu iklimi özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Diyarbakýr Surlarý, Hasan Paþa Haný, Mardin Kapýsý, Sülüklü Han, Ulu Camii, Asur Kalesi, Meryem Ana Kilisesi. | Müzeler: Ýçkale Müze Kompleksi, Ziya Gökalp Müzesi, Cahit Sýtký Tarancý Müze Evi. | Kültürel Miraslar: Çayönü Buluntularý, On Gözlü Köprü, Hevsel Bahçeleri, Dört Ayaklý Minare, Zerzevan Kalesi, Malabadi Köprüsü.;Milli Parklar: Dicle Vadisi Milli Parký. | Gölleri: Hazar Gölü. | Daðlar: Karacadað, Gelincik Daðý. | Þelaleler: Þeyhandede Þelalesi | Maðaralar: Hilar Maðarasý, Birkleyn Maðaralarý | Nehirler: Dicle Nehri;Diyarbakýr Surlarý: Þehrin tarihi surlarý, UNESCO Dünya Mirasý Listesi'nde yer alýr. | Dört Ayaklý Minare: Selçuklu dönemine ait önemli bir mimari eser. | Ulu Camii: Erken Ýslam döneminin ünlü Þam Emeviye Cami'nin (benzerliklerden dolayý) Anadolu'ya yansýmasý olarak yorumlanan Diyarbakýr Ulu Cami, Ýslam aleminin 5. Harem-i Þerifi olarak kabul edilmektedir. Ayrýca Camide sibernetiðin babasý olarak kabul edilen ünlü bilgin El Cezeri'nin yaptýðý güneþ saati bulunmaktadýr. | Sülüklü Han: Adýný avludaki kuyunun içinden tedavi amaçlý çýkarýlan sülüklerden almýþtýr. Günümüzde kafeterya olarak iþletilmektedir. | Surp Giragos Kilisesi: Ermeni cemaatinin Ortadoðu'daki en büyük kilisesi konumunda kabul edilen kilise, Ýnciciyan’ýn verdiði bilgiye göre 16. yüzyýlda inþa edilmiþtir.;Meftune, Cartlak Kebabý, Duvaklý Pilav, Mumbar Dolmasý, Patlýcan Dizme, Ayvalý Kavurma, Mahlepli Diyarbakýr Çöreði, Nardanaþý, Burma Kadayýf;Çarþýlar: Hasan Paþa Haný | Alýþveriþ Merkezleri: Ceylan Karavil Park Avm, Forum Diyarbakýr AVM;Diyarbakýr Karpuz Festivali: Yörede yetiþtirilen karpuzun tanýtýldýðý, çeþitli etkinliklerin düzenlendiði ve yöresel kültürün sergilendiði geleneksel bir festivaldir. | Filmamed Belgesel Film Festivali: Belgesel sinema alanýnda yapýlan ulusal ve uluslararasý çalýþmalarý desteklemek, belgesel sinemayý teþvik etmek ve izleyici ile buluþturmak amacýyla düzenlenen bir etkinliktir.
Edirne;Konumu: Trakya Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Tunca Nehri, Meriç Nehri, Ergene Ovasý. | Ýklimi: Karadeniz iklimi özellikleri gösterir, kýþlarý ýlýman ve yaðýþlý, yazlarý serin ve nemlidir.;Önemli Tarihi Yapýlar: Edirne Kalesi, Selimiye Camii, Eski Camii, Üç Þerefeli Camii, Eski Camii, Muradiye Camii. | Müzeler: Edirne Müzesi, Edirne Türk-Ýslam Eserleri Müzesi, Hýdýrlýk Tabya Balkan Tarihi Müzesi. | Kültürel Miraslar: Sarayiçi, Ali Paþa Çarþýsý, Edirne Evleri, Edirne Sarayý, Karaaðaç Tren Garý.;Milli Parklar: Gala Gölü Milli Parký, Gökçetepe Tabiat Parký. | Nehirler: Meriç Nehri, Tunca Nehri. | Daðlar: Koru Daðý. | Göller: Gala Gölü, Tuzla Gölü;Selimiye Camii: Mimar Sinan'ýn eseri olan ve UNESCO Dünya Mirasý listesinde bulunan büyük bir cami. | Edirne Kalesi: Þehrin sembolü olan tarihi kale, panoramik manzarasýyla ziyaretçileri cezbeder. | Enez: Edirne'ye baðlý olan Enez ilçesi, tarihi ve doðal güzellikleriyle ön plana çýkar. Enez Kalesi, Enez Limaný ve Enez Sahili gibi yerler ziyaretçiler tarafýndan ilgi görür. | Rustempaþa Kervansarayý: Osmanlý döneminde yapýlmýþ olan bu kervansaray, Edirne'nin tarihi atmosferini yaþamak isteyen ziyaretçiler için önemli bir durak noktasýdýr.;Edirne Tava Ciðeri, Ciðer Sarma, Acý Badem Kurabiyesi, Kavala Kurabiyesi, Kadýnbudu Köfte, Soðanlý Tavuk Yahni, Zirva, Mamzana, Piyaziye, Mutancana;Çarþýlar: Alipaþa Çarþýsý, Arasta Çarþýsý, Bedesten. | Alýþveriþ Merkezleri: Erasta Edirne AVM, Margi Outlet Edirne AVM, Edirne Park AVM.;Edirne Kakava Festivali: Romanlar tarafýndan kutlanan ve Hýdrellez'in coþkuyla karþýlandýðý geleneksel bir festival. | Kýrkpýnar Yaðlý Güreþleri: Edirne'de her yýl haziran ayý sonu ile temmuz ayý baþýnda düzenlenen geleneksel Türk yaðlý güreþ turnuvasýnda pehlivanlar üç gün boyunca er meydanýnda mücadele ederler.
Elazýð;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Harput Kalesi, Hazar Gölü. | Ýklimi: Ýç Anadolu iklimi özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Harput Ulu Camii, Harput Kalesi, Izzet Pasa Camii, Palu Surp Lusavoric Kilisesi. | Müzeler: Elazýð  Müzesi. | Kültürel Miraslar: Harput, Çayda Çýra.;Milli Parklar: Hazarbaba Macera Parký, Elazýð Kültür Park. | Gölleri: Hazar Gölü, Keban Baraj Gölü. | Þelaleler: Çýrçýr Þelalesi | Kanyonlar: Saklýkapý Kanyonu, Kara Leylek Kanyonu. | Maðaralar: Buzluk Maðarasý;Harput: Tarihi dokusu ve manzarasýyla ünlü bir mahalle. | Buzluk Maðarasý: Elazýð'ýn doðal güzelliklerinden biri olan maðara. | Harput Camii ve Darüþþifasý: Harput'ta bulunan bu tarihi cami ve darüþþifasý, Osmanlý dönemi eserlerindendir ve mimari açýdan önemlidir.;Anamaþý, Tavþan Üfelemesi, Harput Köftesi, Palu Tava, Lobik Çorbasý, Ýþgene, Kömbe, Patila, Çedene Kahvesi, Orcik, Taþ Ekmeði ;Çarþýlar: Elazýð Kapalý Çarþý | Alýþveriþ Merkezleri: Park Yirmiüç AVM, Akgün AVM, Elysium Park AVM;Elazýð Harput Kültür ve Sanat Festivali: Harput'un tarihi ve kültürel mirasýný kutlamak için düzenlenen bir festival. | Geleneksel Salçalý Köfte ve Gastronomi Festivali: Elazýð mutfaðýnýn zenginliðini ve yöresel ürünlerini Türkiye ve dünyaya tanýtmak amacýyla düzenlenen festivalde ziyaretçiler tescilli geven balý, çedene kahvesi, orcik, pestil, taç ekmeði, Harput köftesi gibi birçok yöresel ürünü stantlarda bulabilirler.
